cohort,fold,K,method,n_cell_types,val_auc,held_auc,val_ap,held_ap,val_f1,held_f1,val_mcc,held_mcc
Heming,4,10,ElasticNet,8,1.0,0.6666666666666667,1.0,0.66751628001628,0.8571428571428571,0.6666666666666667,0.7071067811865476,0.14907119849998599
Heming,4,15,DE_top,8,1.0,0.7037037037037037,1.0,0.7876308876308875,0.8571428571428571,0.6666666666666666,0.7071067811865476,0.0
Heming,4,15,HVG,8,0.875,0.7530864197530864,0.95,0.7086419753086419,0.8571428571428571,0.8421052631578948,0.7071067811865476,0.6708203932499369
Heming,4,15,LASSO,8,1.0,0.654320987654321,1.0,0.6661554494887828,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,15,ElasticNet,8,0.875,0.7037037037037037,0.95,0.7363053613053613,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,20,DE_top,8,1.0,0.654320987654321,1.0,0.7722869722869722,0.8571428571428571,0.6666666666666667,0.7071067811865476,0.14907119849998599
Heming,4,20,HVG,8,0.875,0.7901234567901234,0.95,0.7412257495590828,0.8571428571428571,0.8888888888888888,0.7071067811865476,0.7777777777777778
Heming,4,20,LASSO,8,1.0,0.6419753086419753,1.0,0.6619887828221162,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,20,ElasticNet,8,1.0,0.654320987654321,1.0,0.7165093620975974,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,30,DE_top,8,1.0,0.728395061728395,1.0,0.8222222222222223,0.8571428571428571,0.6666666666666667,0.7071067811865476,0.14907119849998599
Heming,4,30,HVG,8,0.75,0.7901234567901234,0.9166666666666666,0.7793702666251685,0.8571428571428571,0.7777777777777778,0.7071067811865476,0.5555555555555556
Heming,4,30,LASSO,8,1.0,0.654320987654321,1.0,0.6679792429792429,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,30,ElasticNet,8,1.0,0.691358024691358,1.0,0.7336538461538461,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,50,DE_top,8,1.0,0.7283950617283951,1.0,0.7523148148148148,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,50,HVG,8,0.75,0.7160493827160493,0.9166666666666666,0.7009700176366843,0.8571428571428571,0.8421052631578948,0.7071067811865476,0.6708203932499369
Heming,4,50,LASSO,8,1.0,0.6296296296296297,1.0,0.6630020669236355,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,4,50,ElasticNet,8,1.0,0.6666666666666666,1.0,0.7185303893637227,0.8571428571428571,0.7272727272727274,0.7071067811865476,0.3721042037676254
Heming,5,5,DE_top,8,0.6666666666666666,0.7654320987654322,0.9166666666666666,0.8466542172424525,0.6666666666666666,0.6923076923076924,-0.3333333333333333,0.24253562503633297
Heming,5,5,HVG,8,1.0,0.617283950617284,1.0,0.6128293003293004,1.0,0.6666666666666666,1.0,0.0
Heming,5,5,LASSO,8,1.0,0.6419753086419753,1.0,0.7121438746438746,1.0,0.6666666666666667,1.0,0.14907119849998599
Heming,5,5,ElasticNet,8,1.0,0.5308641975308642,1.0,0.5161708117590471,1.0,0.6666666666666667,1.0,0.14907119849998599
Heming,5,10,DE_top,8,1.0,0.8641975308641975,1.0,0.9143518518518519,1.0,0.6956521739130435,1.0,0.2672612419124244
Heming,5,10,HVG,8,1.0,0.5925925925925926,1.0,0.6459235209235209,1.0,0.6666666666666666,1.0,0.2357022603955158
Heming,5,10,LASSO,8,1.0,0.7654320987654321,1.0,0.8312127687127687,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,10,ElasticNet,8,1.0,0.5185185185185185,1.0,0.5517161850495184,1.0,0.6363636363636364,1.0,0.12403473458920847
Heming,5,15,DE_top,8,1.0,0.7037037037037037,1.0,0.7685906685906687,1.0,0.6956521739130435,1.0,0.2672612419124244
Heming,5,15,HVG,8,1.0,0.691358024691358,1.0,0.7458892958892959,1.0,0.6,1.0,0.11396057645963795
Heming,5,15,LASSO,8,1.0,0.6790123456790124,1.0,0.7542077747960101,1.0,0.7272727272727274,1.0,0.3721042037676254
Heming,5,15,ElasticNet,8,1.0,0.7407407407407408,1.0,0.7977573352573353,1.0,0.6956521739130435,1.0,0.2672612419124244
