cohort,fold,K,method,n_cell_types,held_auc,held_ap,held_f1,held_mcc
Ramesh,1,5,QUBO_hybrid,8,0.9523809523809524,0.9910714285714285,0.8333333333333333,0.5532833351724882
Ramesh,1,10,QUBO,8,0.8571428571428572,0.9723766429648782,0.782608695652174,0.49099025303098287
Ramesh,1,10,QUBO_hybrid,8,0.9285714285714286,0.9873949579831932,0.7272727272727273,0.4364357804719847
Ramesh,1,15,QUBO,8,0.8809523809523809,0.9778711484593837,0.782608695652174,0.49099025303098287
Ramesh,1,15,QUBO_hybrid,8,0.9047619047619048,0.9822929171668667,0.782608695652174,0.49099025303098287
Ramesh,1,20,QUBO,8,0.9285714285714286,0.9873949579831932,0.8333333333333333,0.5532833351724882
Ramesh,1,20,QUBO_hybrid,8,0.9285714285714286,0.9873949579831932,0.782608695652174,0.49099025303098287
Ramesh,1,30,QUBO,8,0.8095238095238096,0.9599307555189908,0.8461538461538461,0.378489059622558
Ramesh,1,50,QUBO,8,0.8571428571428572,0.9723766429648782,0.7272727272727273,0.4364357804719847
Ramesh,2,5,QUBO,8,0.8095238095238095,0.960354526425955,0.782608695652174,0.49099025303098287
Ramesh,2,5,QUBO_hybrid,8,0.9047619047619048,0.981547619047619,0.8333333333333333,0.5532833351724882
Ramesh,2,10,QUBO,8,0.8571428571428571,0.9701007326007325,0.7272727272727273,0.4364357804719847
Ramesh,2,10,QUBO_hybrid,8,0.8809523809523809,0.9767984116723613,0.782608695652174,0.49099025303098287
Ramesh,2,15,QUBO,8,0.9285714285714286,0.9873949579831932,0.8333333333333333,0.5532833351724882
Ramesh,2,15,QUBO_hybrid,8,0.880952380952381,0.9721956614813757,0.7272727272727273,0.4364357804719847
Ramesh,2,20,QUBO,8,1.0,1.0,0.7272727272727273,0.4364357804719847
Ramesh,2,20,QUBO_hybrid,8,0.9047619047619048,0.9786891679748821,0.6,0.34188172937891387
Ramesh,2,30,QUBO,8,0.9047619047619048,0.981547619047619,0.7272727272727273,0.4364357804719847
Ramesh,2,50,QUBO,8,0.9523809523809524,0.9901360544217687,0.7272727272727273,0.4364357804719847
Ramesh,3,5,QUBO,8,0.9047619047619048,0.9804748822605965,0.35294117647058826,0.21428571428571427
Ramesh,3,5,QUBO_hybrid,8,0.9285714285714286,0.985969387755102,0.4444444444444445,0.25677629550654774
Ramesh,3,10,QUBO,8,0.6904761904761904,0.9321911340293693,0.6666666666666666,0.3872983346207417
Ramesh,3,10,QUBO_hybrid,8,0.9285714285714285,0.9846415489272632,0.6,0.34188172937891387
Ramesh,3,15,QUBO,8,0.8333333333333335,0.9664242620124972,0.6,0.34188172937891387
Ramesh,3,15,QUBO_hybrid,8,0.8809523809523809,0.9760531135531135,0.6,0.34188172937891387
Ramesh,3,20,QUBO,8,0.8095238095238095,0.963798019207683,0.6666666666666666,0.3872983346207417
Ramesh,3,20,QUBO_hybrid,8,0.9523809523809524,0.9910714285714285,0.782608695652174,0.49099025303098287
Ramesh,3,30,QUBO,8,0.7619047619047619,0.9438182848897134,0.6,0.34188172937891387
Ramesh,3,50,QUBO,8,0.9523809523809524,0.9910714285714285,0.6,0.34188172937891387
Ramesh,4,5,QUBO,8,0.9285714285714286,0.9873949579831932,0.6,0.34188172937891387
Ramesh,4,5,QUBO_hybrid,8,0.8333333333333335,0.9664242620124972,0.8333333333333333,0.5532833351724882
Ramesh,4,10,QUBO,8,0.8095238095238095,0.9625552143934497,0.8333333333333333,0.5532833351724882
Ramesh,4,10,QUBO_hybrid,8,0.9285714285714286,0.985969387755102,0.7272727272727273,0.4364357804719847
Ramesh,4,15,QUBO,8,0.9523809523809524,0.9901360544217687,0.782608695652174,0.49099025303098287
Ramesh,4,15,QUBO_hybrid,8,0.9285714285714286,0.985969387755102,0.88,0.6267831705280087
Ramesh,4,20,QUBO,8,0.9285714285714285,0.9846415489272632,0.7272727272727273,0.4364357804719847
Ramesh,4,20,QUBO_hybrid,8,0.9047619047619048,0.9822929171668667,0.88,0.6267831705280087
Ramesh,4,30,QUBO,8,0.880952380952381,0.9721956614813757,0.8461538461538461,0.378489059622558
Ramesh,4,50,QUBO,8,0.9285714285714286,0.985969387755102,0.8333333333333333,0.5532833351724882
Ramesh,5,5,QUBO,7,0.6904761904761905,0.927344195253859,0.6,0.34188172937891387
Ramesh,5,5,QUBO_hybrid,7,0.7857142857142858,0.9527878983761335,0.6666666666666666,0.3872983346207417
Ramesh,5,10,QUBO,7,0.9285714285714285,0.9846415489272632,0.5263157894736842,0.29880715233359845
Ramesh,5,10,QUBO_hybrid,7,0.9523809523809524,0.9910714285714285,0.7272727272727273,0.4364357804719847
Ramesh,5,15,QUBO,7,0.8095238095238095,0.9572096670836165,0.6,0.34188172937891387
Ramesh,5,15,QUBO_hybrid,7,0.9523809523809524,0.9910714285714285,0.6666666666666666,0.3872983346207417
Ramesh,5,20,QUBO,7,0.7857142857142858,0.9538610199324484,0.4444444444444445,0.25677629550654774
Ramesh,5,20,QUBO_hybrid,7,0.9761904761904762,0.9952380952380953,0.4444444444444445,0.25677629550654774
Ramesh,5,30,QUBO,7,0.6428571428571428,0.9052353517164441,0.35294117647058826,0.21428571428571427
Ramesh,5,50,QUBO,7,0.7619047619047619,0.952809008218672,0.5263157894736842,0.29880715233359845
