holdout,tissue,method,version,val_auc,val_std,held_auc,held_std,n_folds
Ramesh,CSF,HVG,orig,0.8066666666666666,0.15392999852025094,0.8333333333333334,0.10647942749999002,5
Ramesh,CSF,LASSO,orig,0.8666666666666666,0.191847740553689,0.9238095238095239,0.0199204768222399,5
Ramesh,CSF,ElasticNet,orig,0.8666666666666666,0.191847740553689,0.9238095238095239,0.0199204768222399,5
Ramesh,ALL,QUBO,bio,0.52,0.20221001184137471,0.6761904761904762,0.20384623612384759,5
Ramesh,ALL,DE_top,bio,0.6199999999999999,0.1386442289539028,0.8619047619047621,0.019920476822239856,5
Ramesh,ALL,HVG,bio,0.7433333333333334,0.09617692030835674,0.5952380952380952,0.20132779196771144,5
Ramesh,ALL,LASSO,bio,0.6100000000000001,0.25155074592967874,0.9095238095238095,0.03912303982179759,5
Ramesh,ALL,ElasticNet,bio,0.6100000000000001,0.25155074592967874,0.9095238095238095,0.03912303982179759,5
Ramesh,ALL,QUBO,orig,0.7066666666666667,0.23351183648324508,0.761904761904762,0.23449661432847874,5
Ramesh,ALL,DE_top,orig,0.6599999999999999,0.1887826498619216,0.7333333333333334,0.17769626816233608,5
Ramesh,ALL,HVG,orig,0.8366666666666667,0.08771798244627176,0.4904761904761905,0.13320572124475585,5
Ramesh,ALL,LASSO,orig,0.7666666666666667,0.27888667551135854,0.880952380952381,0.08074202360863414,5
Ramesh,ALL,ElasticNet,orig,0.7666666666666667,0.27888667551135854,0.880952380952381,0.08074202360863414,5
