holdout,fold,cell_type,n_screen,E_sa,E_exact,energy_gap,identical,jaccard_sa_exact,k_sa,k_exact
Heming,2,CD4_T,20,-170.33057744293168,-170.33057744293168,0.0,1,1.0,8,8
Heming,2,CD8_T,20,-178.24106176781058,-178.24106176781052,-5.684341886080804e-14,1,1.0,8,8
Heming,2,NK,20,-187.6420388011394,-187.64203880113936,-2.8421709430404014e-14,1,1.0,9,9
Heming,2,DC,20,-177.88582691018894,-177.88582691018837,-5.684341886080801e-13,1,1.0,9,9
Heming,2,dnT,20,-178.8780860129386,-178.87808601293844,-1.7053025658242404e-13,1,1.0,8,8
Heming,2,gdT,20,-179.1075177892062,-179.10751778920576,-4.547473508864641e-13,1,1.0,9,9
Heming,3,B,20,-186.2661130821338,-186.49482422467088,0.2287111425370653,0,0.6363636363636364,9,9
Heming,3,Mono,20,-183.69443612534943,-183.6944361253489,-5.115907697472721e-13,1,1.0,9,9
Heming,3,CD4_T,20,-183.42359568424808,-183.4235956842477,-3.1263880373444413e-13,1,1.0,9,9
Heming,3,CD8_T,20,-188.85905840898127,-189.08312049581696,0.224062086835687,0,0.6363636363636364,9,9
Heming,3,NK,20,-188.48960710773656,-188.74111721214496,0.2515101044083963,0,0.8,9,9
Heming,3,DC,20,-180.3558820860177,-180.3558820860172,-4.831690603168681e-13,1,1.0,9,9
Heming,3,dnT,20,-180.911205425207,-180.9112054252068,-2.557953848736361e-13,1,1.0,9,9
Heming,3,gdT,20,-186.2513122673436,-186.2513122673436,-2.8421709430404014e-14,1,1.0,9,9
Heming,4,B,20,-185.72802855416435,-185.98069369391268,0.2526651397483306,0,0.8,9,9
Heming,4,Mono,20,-186.0145569319121,-186.07088154112685,0.0563246092147551,0,0.5,9,9
Heming,4,CD4_T,20,-172.73845457572418,-172.87850919517865,0.1400546194544745,0,0.7777777777777778,8,8
Heming,4,CD8_T,20,-185.9994860454181,-186.1330051771932,0.1335191317750172,0,0.8,9,9
Heming,4,NK,20,-188.0931639983704,-188.0931639983695,-8.242295734817162e-13,1,1.0,9,9
Heming,4,DC,20,-182.64196495875152,-182.6419649587511,-4.263256414560601e-13,1,1.0,9,9
Heming,4,dnT,20,-185.88334953472088,-185.88334953472065,-2.273736754432321e-13,1,1.0,9,9
Heming,4,gdT,20,-184.08581971608584,-184.08581971608623,3.979039320256561e-13,1,1.0,9,9
Heming,5,B,20,-185.5109485183096,-185.97203980280543,0.4610912844958648,0,0.5,9,9
Heming,5,Mono,20,-183.8289443285808,-184.16881984499764,0.3398755164168392,0,0.3846153846153846,9,9
Heming,5,CD4_T,20,-172.24119609219184,-172.32165112972956,0.0804550375377175,0,0.6,8,8
Heming,5,CD8_T,20,-180.89202346697417,-180.89202346697363,-5.400124791776761e-13,1,1.0,9,9
Heming,5,NK,20,-189.3337033282409,-189.33370332824103,1.1368683772161605e-13,1,1.0,9,9
Heming,5,DC,20,-179.0754209125859,-179.07542091258549,-4.263256414560601e-13,1,1.0,9,9
Heming,5,dnT,20,-188.303013444772,-188.30301344477184,-1.1368683772161605e-13,1,1.0,9,9
Heming,5,gdT,20,-186.46671898896264,-186.46671898896275,8.526512829121202e-14,1,1.0,9,9
Ramesh,1,B,20,-186.61618775386975,-186.6710090141412,0.0548212602713817,0,0.6363636363636364,9,9
Ramesh,1,Mono,20,-189.8489272741137,-189.8489272741137,0.0,1,1.0,9,9
Ramesh,1,CD4_T,20,-183.67082535166904,-183.6708253516687,-3.410605131648481e-13,1,1.0,9,9
Ramesh,1,CD8_T,20,-181.63651078187252,-181.636510781872,-5.400124791776761e-13,1,1.0,9,9
Ramesh,1,NK,20,-188.42334096562075,-189.1949007993598,0.7715598337390475,0,0.6363636363636364,9,9
Ramesh,1,DC,20,-181.68404961169625,-181.684049611696,-2.842170943040401e-13,1,1.0,9,9
Ramesh,1,dnT,20,-188.0186977124333,-188.06160240892825,0.0429046964949861,0,0.5,9,9
Ramesh,1,gdT,20,-187.91924321329097,-188.37114910410648,0.4519058908155102,0,0.8,9,9
Ramesh,2,B,20,-181.64694852373444,-181.64694852373424,-1.9895196601282805e-13,1,1.0,9,9
