method,holdout,fold,cell_type,rho
mRMR,Pappalardo,2,B,0.3823759701370708
mRMR,Pappalardo,2,CD4_T,0.3802388442258087
mRMR,Pappalardo,2,CD8_T,0.1963651807605532
mRMR,Pappalardo,2,DC,0.4274961375090491
mRMR,Pappalardo,2,Mono,0.1834410005239709
mRMR,Pappalardo,2,NK,0.1995580256759991
mRMR,Pappalardo,2,dnT,0.3229946436355847
mRMR,Pappalardo,2,gdT,0.3015522171833473
mRMR,Pappalardo,3,B,0.3086463281077342
mRMR,Pappalardo,3,CD4_T,0.2300381075060437
mRMR,Pappalardo,3,CD8_T,0.3126029700559686
mRMR,Pappalardo,3,DC,0.2774427654783253
mRMR,Pappalardo,3,Mono,0.2139510771146715
mRMR,Pappalardo,3,NK,0.2315289153907166
mRMR,Pappalardo,3,dnT,0.2454157518199713
mRMR,Pappalardo,3,gdT,0.2535734337074691
mRMR,Pappalardo,4,B,0.2726180145985227
mRMR,Pappalardo,4,CD4_T,0.2399481100644515
mRMR,Pappalardo,4,CD8_T,0.2239949206104636
mRMR,Pappalardo,4,DC,0.3718452530022629
mRMR,Pappalardo,4,Mono,0.1918101237166679
mRMR,Pappalardo,4,NK,0.2878242674543049
mRMR,Pappalardo,4,dnT,0.2262765059814152
mRMR,Pappalardo,4,gdT,0.2047721796839842
mRMR,Pappalardo,5,B,0.3413174374811207
mRMR,Pappalardo,5,CD4_T,0.293090891004045
mRMR,Pappalardo,5,CD8_T,0.2718368297865178
mRMR,Pappalardo,5,DC,0.3079545142231495
mRMR,Pappalardo,5,Mono,0.1704689476122332
mRMR,Pappalardo,5,NK,0.2260250839980269
mRMR,Pappalardo,5,dnT,0.2391486792462831
mRMR,Pappalardo,5,gdT,0.2161632846958617
DE_top,Pappalardo,1,B,0.6071178931417229
DE_top,Pappalardo,1,CD4_T,0.5200717031069806
DE_top,Pappalardo,1,CD8_T,0.3618627483736771
DE_top,Pappalardo,1,DC,0.5977458928874186
DE_top,Pappalardo,1,Mono,0.214234179289003
DE_top,Pappalardo,1,NK,0.2842263233010588
DE_top,Pappalardo,1,dnT,0.3204608389090296
DE_top,Pappalardo,1,gdT,0.3044611169888775
ElasticNet,Pappalardo,1,B,0.5616991916013835
ElasticNet,Pappalardo,1,CD4_T,0.2900755869354643
ElasticNet,Pappalardo,1,CD8_T,0.3305903247061352
ElasticNet,Pappalardo,1,DC,0.5686996445600393
ElasticNet,Pappalardo,1,Mono,0.3325656077190277
ElasticNet,Pappalardo,1,NK,0.3375115918010176
